상호명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,위도,경도
참치요,일식,일식 회/초밥,일식 음식점업,삼선동,37.5882837037935,127.010689082672
번쩍피자,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",청량리동,37.588136416365,127.040877880934
선화가맥,주점,일반 유흥 주점,한식 일반 음식점업,동선동,37.5898827840741,127.018752648325
치킨홀릭,기타 간이,치킨,치킨 전문점,종암동,37.5936640867452,127.034771383013
돈암골,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5872451417123,127.009332775981
홍닭발,한식,닭/오리고기 구이/찜,한식 육류 요리 전문점,용신동,37.5744720016165,127.030388933875
프롬하츠커피신설역점,비알코올 ,카페,커피 전문점,용신동,37.5768155585928,127.026113100901
플랜터PLANTER247,비알코올 ,카페,커피 전문점,동선동,37.5915762016935,127.019772168854
써니7080,주점,요리 주점,기타 주점업,동선동,37.5915394493634,127.017519292602
우리식당,한식,백반/한정식,한식 일반 음식점업,용신동,37.5778826399488,127.025487849968
아리카페,비알코올 ,카페,커피 전문점,안암동,37.5884849860916,127.031701809695
상민이곱창,한식,곱창 전골/구이,한식 일반 음식점업,용신동,37.5766017390615,127.024225253472
한식술집돌,한식,백반/한정식,한식 일반 음식점업,동선동,37.5914623695386,127.020169980807
호세야,한식,백반/한정식,한식 일반 음식점업,동선동,37.5959077584402,127.019477544358
나팔바지,주점,요리 주점,기타 주점업,삼선동,37.5893026623805,127.017254296389
뽀르께노스페니쉬비스트로,서양식,경양식,서양식 음식점업,삼선동,37.5883616805012,127.007098685442
충남집,주점,요리 주점,기타 주점업,종암동,37.6033231791205,127.031464210248
카페어텐디,기타 간이,빵/도넛,제과점업,용신동,37.5779196884778,127.035484123915
일일일대일,비알코올 ,카페,커피 전문점,동선동,37.5941491068442,127.018198382971
최가네,한식,백반/한정식,한식 일반 음식점업,삼선동,37.5868934898918,127.009303468532
호랭이술집,주점,생맥주 전문,생맥주 전문점,안암동,37.5855230877367,127.029815351823
